"merge","id","id_str","name","screen_name","location","description","url","followers_count","friends_count","created_at","time_zone","lang","party"
"senwarren",970207298,970207298,"Elizabeth Warren","SenWarren","","Official twitter account of Senator Elizabeth Warren of Massachusetts.","http://t.co/wsbNrrUt",122277,242,"Sun Nov 25 15:14:27 +0000 2012","Eastern Time (US & Canada)","en","D"
"senwhitehouse",242555999,242555999,"Sheldon Whitehouse","SenWhitehouse","Rhode Island","U.S. Senator from #RhodeIsland, the Ocean State. Follows, RTs ≠ endorsement, but I look forward to listening to you.","http://t.co/z6NYBzbPgY",19653,1374,"Tue Jan 25 01:52:03 +0000 2011","Eastern Time (US & Canada)","en","D"
"speakerboehner",7713202,7713202,"Speaker John Boehner","SpeakerBoehner","Washington, DC","Official Twitter account for U.S. House Speaker John Boehner (R-OH)","http://t.co/bdw41jAvA2",696056,9649,"Wed Jul 25 14:42:33 +0000 2007","Eastern Time (US & Canada)","en","R"
"stevedaines",11651202,11651202,"Steve Daines","SteveDaines","Bozeman, MT","Serving the people of Montana in the U.S. House of Representatives.","http://t.co/mCjvNUHT",3530,458,"Sun Dec 30 05:52:03 +0000 2007","Eastern Time (US & Canada)","en","R"
"stevekingia",48117116,48117116,"Steve King","SteveKingIA","Washington, DC","Representing the 4th District of Iowa #IA04","http://t.co/3xUFJcyWQ4",22215,69,"Wed Jun 17 21:09:41 +0000 2009","Eastern Time (US & Canada)","en","R"
"stevescalise",1209417007,1209417007,"Rep. Steve Scalise","SteveScalise","Jefferson, LA","Serving as House Majority Whip and representing LA-01. Follow me on Facebook: http://t.co/mIQZ2Jh9Gt and Instagram: http://t.co/5wuWc45xvq","http://t.co/JrUbzHZc34",9985,3334,"Fri Feb 22 18:10:47 +0000 2013","Atlantic Time (Canada)","en","R"
"steveworks4you",1059240924,1059240924,"Rep. Steve Stockman","SteveWorks4You","Houston, Texas","Working to put government back into its constitutional shackles.",NA,18935,2797,"Fri Jan 04 01:39:09 +0000 2013","Atlantic Time (Canada)","en","R"
"susanwbrooks",1074101017,1074101017,"Susan W. Brooks ","SusanWBrooks","","Serving the good people of Indiana’s 5th District in Congress.","http://t.co/0ZSaz3JtOT",4272,281,"Wed Jan 09 15:30:38 +0000 2013","Atlantic Time (Canada)","en","R"
"tammyduckworth",18468374,18468374,"tammyduckworth","tammyduckworth","Hoffman Estates, IL","Born 
Grew up
Got married 
Went to Flight School
Got blown up
Ran for public office
Life is good","http://t.co/xL004HlpmQ",2215,83,"Tue Dec 30 03:22:18 +0000 2008","Central Time (US & Canada)","en",NA
"tgowdysc",237348797,237348797,"Trey Gowdy","TGowdySC","","Congressman for South Carolina's 4th District.","http://t.co/AjWmM2R00J",129387,368,"Wed Jan 12 16:57:04 +0000 2011","Central Time (US & Canada)","en","R"
"tiberipress",912608010,912608010,"Tiberi Press Office","TiberiPress","","Congressman Pat Tiberi's (OH-12) Press Office
http://www.facebook/RepPatTiberi","http://t.co/xOHdDGov9m",1680,515,"Mon Oct 29 15:02:02 +0000 2012",NA,"en",NA
"timbishopny",153919023,153919023,"Tim Bishop","TimBishopNY","Suffolk County, NY","Tweets from the office of Congressman Tim Bishop, in New York's first district. Check out our Facebook page: http://t.co/B13QjY9lJX","http://t.co/XAibNF4Umo",5848,2387,"Wed Jun 09 22:22:18 +0000 2010","Central Time (US & Canada)","en","D"
"timkaine",172858784,172858784,"Senator Tim Kaine","timkaine","","U.S. Senator from the Commonwealth of Virginia",NA,35075,634,"Fri Jul 30 20:00:32 +0000 2010","Eastern Time (US & Canada)","en","D"
"toddrokita",17544524,17544524,"Rep. Todd Rokita","ToddRokita","Indiana","Todd Rokita, U.S. Representative of the 4th District of Indiana. Chairman of Subcommittee on Early Childhood, Elementary, and Secondary Education.","http://t.co/AihDW6GPeY",10197,3347,"Fri Nov 21 20:10:51 +0000 2008","Eastern Time (US & Canada)","en","R"
"tomcoburn",18216752,18216752,"Sen. Tom Coburn M.D.","TomCoburn","Washington, DC","Senator from Oklahoma, fighting against wasteful Washington spending","http://t.co/tyTPY6g18h",79524,429,"Thu Dec 18 15:32:08 +0000 2008","Eastern Time (US & Canada)","en","R"
"tomcoleok04",23124635,23124635,"Rep. Tom Cole","TomColeOK04","Oklahoma","Proudly serving and representing the Fourth District of Oklahoma in the U.S. House of Representatives. Engage with #OK04","http://t.co/ePC5ciPbap",6312,81,"Fri Mar 06 21:54:25 +0000 2009","Central Time (US & Canada)","en","R"
"tomlatham",10102032,10102032,"Tom Latham","TomLatham","Clive, IA","United States Congressman representing the good people of Iowa.","http://t.co/QqszZPgAIk",10491,1231,"Fri Nov 09 16:09:46 +0000 2007","Central Time (US & Canada)","en","R"
"tomrooney",23970171,23970171,"Tom Rooney","TomRooney","Florida","Proudly represent Florida's 17th District in the U.S. House of Representatives. Husband & father of 3 sons. RT ≠ endorsement.","http://t.co/pmjvTCiKv1",13278,4120,"Thu Mar 12 15:44:41 +0000 2009","Eastern Time (US & Canada)","en","R"
"transport",35829796,35829796,"House Transportation","Transport","Washington, D.C.","Transportation & Infrastructure Committee:
Aviation, Maritime, Highway, Transit, Railroad, Pipeline, Hazmat, Water Resource http://t.co/s7qLu5eKlw","http://t.co/v3GstJ3N2w",11180,684,"Mon Apr 27 19:14:48 +0000 2009","Eastern Time (US & Canada)","en",NA
"treyradel",17198100,17198100,"Trey Radel","treyradel","","Life has ups.  Life has downs.  Hang on tight, especially to your sense of humor.",NA,7786,884,"Wed Nov 05 21:29:34 +0000 2008","Eastern Time (US & Canada)","en","R"
"tulsipress",1064206014,1064206014,"Rep. Tulsi Gabbard","TulsiPress","","Aloha and welcome to the official Twitter page of Congresswoman Tulsi Gabbard (HI-02). Account managed by staff. Tulsi tweets signed TG.","http://t.co/gMf3nFbm",7245,705,"Sat Jan 05 22:57:50 +0000 2013","Eastern Time (US & Canada)","en","D"
"txrandy14",1058051748,1058051748,"Randy Weber","TXRandy14","Friendswood, TX","Representative for the 14th Congressional District of Texas.  http://t.co/3YiUH4dPNE | Instagram: TXRandy14","http://t.co/8FFRq13svl",3107,303,"Thu Jan 03 15:30:06 +0000 2013",NA,"en","R"
